,UNDER_CONSTRUCTION,RERA,BHK_NO,SQUARE_FT,READY_TO_MOVE,RESALE,LONGITUDE,LATITUDE,area,TARGET(PRICE_IN_LACS),PRICE_IN_LACS,POSTED_BY Dealer,POSTED_BY Owner,BHK_OR_RK,city_tier tier2,city_tier tier3,ADDRESS
0,0,0,2,1300.236407,1,1,12.96991,77.59796,7.170301378455103,55.0,4.007333185232471,0.0,1.0,0,0.0,0.0,21
1,0,0,2,1275.0,1,1,12.274538,76.644605,7.150701457592526,51.0,3.9318256327243257,1.0,0.0,0,1.0,0.0,160
2,0,0,2,933.1597222,1,1,12.778033,77.632191,6.83857637826425,43.0,3.7612001156935624,0.0,1.0,0,0.0,0.0,21
3,0,1,2,929.9211427,1,1,28.6423,77.3445,6.83509978975649,62.5,4.135166556742356,0.0,1.0,0,1.0,0.0,78
4,1,0,2,999.009247,0,1,22.5922,88.484911,6.906764034861971,60.5,4.102643365036796,1.0,0.0,0,0.0,0.0,134
5,0,0,3,1250.0,1,1,10.03328,76.28257099999999,7.1308988302963465,42.0,3.7376696182833684,0.0,1.0,0,1.0,0.0,132
6,0,0,3,1495.053957,1,1,26.916347,75.7956,7.309917576812295,66.5,4.197201947661808,1.0,0.0,0,1.0,0.0,105
7,0,1,3,1181.012946,1,1,30.74,76.65,7.074127778033979,52.0,3.9512437185814275,0.0,1.0,0,0.0,1.0,155
8,0,1,2,1040.0,1,1,13.054202,77.674002,6.946975992135418,41.6,3.728100167267218,1.0,0.0,0,0.0,0.0,21
9,0,1,2,879.1208791000001,1,1,12.95161,80.14097,6.778922407115418,36.0,3.58351893845611,0.0,1.0,0,0.0,0.0,49
10,0,0,3,1350.308642,1,1,26.724219,88.326357,7.208088469005762,35.0,3.5553480614894135,0.0,1.0,0,1.0,0.0,223
11,0,0,2,1333.010179,1,1,13.04034,77.591347,7.195194956308593,110.0,4.700480365792417,1.0,0.0,0,0.0,0.0,21
12,0,0,2,927.1779023,1,1,12.96991,77.59796,6.8321454590193635,48.0,3.871201010907891,0.0,1.0,0,0.0,0.0,21
13,0,1,2,1122.1719460000002,1,1,28.587711,77.403123,7.023021323895495,62.0,4.127134385045092,0.0,1.0,0,1.0,0.0,172
14,0,0,1,649.9837504,1,1,13.0352,77.5772,6.476947363192577,20.0,2.995732273553991,0.0,1.0,0,0.0,1.0,195
15,1,1,3,1394.117647,0,1,28.429614,77.481711,7.2400169830248124,71.1,4.264087336809195,1.0,0.0,0,1.0,0.0,172
16,0,0,3,1800.08471,1,1,20.275267000000003,85.86240699999999,7.4955890038880275,85.0,4.442651256490317,0.0,1.0,0,1.0,0.0,42
17,1,1,3,2124.896706,0,1,12.8855,77.5638,7.661478471235887,180.0,5.19295685089021,1.0,0.0,0,0.0,0.0,21
18,0,0,2,1100.0,1,1,21.15389,79.08306,7.003065458786462,22.0,3.091042453358316,0.0,1.0,0,0.0,1.0,253
19,0,1,3,2178.649237,1,1,13.092356,77.61346800000001,7.686460347686729,120.0,4.787491742782046,1.0,0.0,0,0.0,0.0,21
20,0,0,2,881.1435285,1,1,13.05,80.11,6.781220528103904,45.0,3.8066624897703196,0.0,1.0,0,0.0,0.0,49
21,0,0,2,944.8818898,1,1,18.452663,73.93104,6.851059935343925,42.0,3.7376696182833684,1.0,0.0,0,0.0,0.0,192
22,0,1,3,1310.147689,1,1,28.5041,77.381557,7.177895149535212,55.0,4.007333185232471,1.0,0.0,0,1.0,0.0,172
23,0,0,1,630.00063,1,1,19.05444,72.84056,6.445720819385079,300.0,5.703782474656201,1.0,0.0,0,0.0,0.0,158
24,0,0,2,1219.80971,1,1,21.105779,79.078497,7.106450150152037,50.0,3.912023005428146,1.0,0.0,0,1.0,0.0,165
25,0,0,2,780.141844,1,1,22.54111,88.33778000000001,6.659475754432749,27.5,3.3141860046725258,0.0,1.0,0,0.0,0.0,134
26,0,0,3,1600.0,1,1,28.63601,77.433724,7.3777589082278725,46.0,3.828641396489095,0.0,1.0,0,1.0,0.0,78
27,0,0,2,1180.412371,1,1,30.712867,76.648557,7.073619123359511,22.9,3.131136910560194,1.0,0.0,0,0.0,1.0,155
28,1,0,2,1000.0,0,1,24.48,86.7,6.907755278982137,39.0,3.6635616461296463,0.0,1.0,0,0.0,1.0,60
29,0,0,2,1000.0,1,1,28.2102,76.8606,6.907755278982137,12.5,2.5257286443082556,1.0,0.0,0,0.0,1.0,39
30,0,0,3,1400.107701,1,1,28.40473,77.367514,7.244304441930159,52.0,3.9512437185814275,1.0,0.0,0,1.0,0.0,72
31,0,1,2,943.1266076,1,1,28.5041,77.381557,6.849200534066718,33.0,3.4965075614664802,1.0,0.0,0,1.0,0.0,172
32,0,0,2,1150.146382,1,1,26.586306,74.873234,7.047644501952429,55.0,4.007333185232471,0.0,1.0,0,1.0,0.0,105
33,1,1,1,864.0674393999999,0,1,19.18,72.96333,6.761650820619044,82.0,4.406719247264253,1.0,0.0,0,0.0,1.0,142
34,0,1,2,857.7861968000001,1,0,19.1759,72.9522,6.754354880556717,240.0,5.480638923341991,1.0,0.0,0,0.0,0.0,148
35,0,0,3,1174.210077,1,1,12.852171,80.216826,7.068350925606546,55.0,4.007333185232471,0.0,1.0,0,0.0,0.0,49
36,1,1,2,1020.087884,0,1,18.5993,73.7625,6.9276440633510035,65.0,4.174387269895637,1.0,0.0,0,0.0,0.0,192
37,0,0,4,1650.165017,1,1,22.312063,72.674296,7.40863057219696,65.0,4.174387269895637,0.0,1.0,0,1.0,0.0,242
